"time","totalforcing"
1889-12-01,0.177871538676414
1890-01-01,0.162275176904322
1890-02-01,0.153504787399267
1890-03-01,0.144734397894189
1890-04-01,0.135964008389134
1890-05-01,0.12719361888408
1890-06-01,0.118423229379001
1890-07-01,0.109652839873947
1890-08-01,0.100882450368892
1890-09-01,0.0921120608638138
1890-10-01,0.0833416713587593
1890-11-01,0.0745712818537048
1890-12-01,0.0658008923486263
1891-01-01,0.0570305028435718
1891-02-01,0.0761703373465121
1891-03-01,0.0953101718495045
1891-04-01,0.114450006352445
1891-05-01,0.133589840855385
1891-06-01,0.152729675358378
1891-07-01,0.171869509861318
1891-08-01,0.191009344364258
1891-09-01,0.21014917886725
1891-10-01,0.229289013370191
1891-11-01,0.248428847873131
1891-12-01,0.267568682376123
1892-01-01,0.286708516879064
1892-02-01,0.299471456480115
1892-03-01,0.312234396081201
1892-04-01,0.324997335682253
1892-05-01,0.337760275283305
1892-06-01,0.350523214884391
1892-07-01,0.363286154485442
1892-08-01,0.376049094086494
1892-09-01,0.38881203368758
1892-10-01,0.401574973288632
1892-11-01,0.414337912889683
1892-12-01,0.42710085249077
1893-01-01,0.439863792091821
1893-02-01,0.440615269375155
1893-03-01,0.44136674665849
1893-04-01,0.442118223941824
1893-05-01,0.442869701225157
1893-06-01,0.443621178508492
1893-07-01,0.444372655791826
1893-08-01,0.445124133075159
1893-09-01,0.445875610358495
1893-10-01,0.446627087641828
1893-11-01,0.447378564925162
1893-12-01,0.448130042208497
1894-01-01,0.448881519491831
1894-02-01,0.447670111972723
1894-03-01,0.446458704453612
1894-04-01,0.445247296934504
1894-05-01,0.444035889415397
1894-06-01,0.442824481896286
1894-07-01,0.441613074377178
1894-08-01,0.44040166685807
1894-09-01,0.439190259338959
1894-10-01,0.437978851819851
1894-11-01,0.436767444300744
1894-12-01,0.435556036781633
1895-01-01,0.434344629262525
1895-02-01,0.432638765136802
